Dia,Hora,PCB,CYM,COF2TD,PMHPCB,PMHCYM,SAHPCB,SAHCYM,FOMPCB,FOMCYM,FOSPCB,FOSCYM,INTPCB,INTCYM,PCAPPCB,PCAPCYM,TEUPCB,TEUCYM,CCVPCB,CCVCYM,EDSRPCB,EDSRCYM,TAHPCB,TAHCYM
06/04/2025,00-01,"130,32","130,32","0,000106067281000000","83,65","83,65","23,38","23,38","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","4,41","4,41","0,00","0,00","15,64","15,64"
06/04/2025,01-02,"108,79","108,79","0,000090230244000000","56,64","56,64","29,06","29,06","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","4,10","4,10","0,00","0,00","15,74","15,74"
06/04/2025,02-03,"98,17","98,17","0,000078866095000000","42,56","42,56","32,63","32,63","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,95","3,95","0,00","0,00","15,78","15,78"
06/04/2025,03-04,"91,26","91,26","0,000072274482000000","30,53","30,53","37,84","37,84","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,85","3,85","0,00","0,00","15,79","15,79"
06/04/2025,04-05,"91,35","91,35","0,000069007422000000","29,71","29,71","38,73","38,73","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,85","3,85","0,00","0,00","15,81","15,81"
06/04/2025,05-06,"92,92","92,92","0,000068443208000000","30,78","30,78","39,20","39,20","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,87","3,87","0,00","0,00","15,82","15,82"
06/04/2025,06-07,"92,65","92,65","0,000069729679000000","31,47","31,47","38,28","38,28","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,87","3,87","0,00","0,00","15,79","15,79"
06/04/2025,07-08,"94,35","94,35","0,000070908213000000","34,40","34,40","37,07","37,07","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,88","3,88","0,00","0,00","15,74","15,74"
06/04/2025,08-09,"93,09","93,09","0,000078028304000000","30,44","30,44","40,10","40,10","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,82","3,82","0,00","0,00","15,48","15,48"
06/04/2025,09-10,"55,75","55,75","0,000097258359000000","3,77","3,77","30,36","30,36","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,21","3,21","0,00","0,00","15,17","15,17"
06/04/2025,10-11,"40,25","40,25","0,000113153419000000","-0,22","-0,22","19,28","19,28","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,95","2,95","0,00","0,00","15,00","15,00"
06/04/2025,11-12,"38,11","38,11","0,000118614257000000","-1,38","-1,38","18,40","18,40","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,91","2,91","0,00","0,00","14,94","14,94"
06/04/2025,12-13,"37,58","37,58","0,000119231016000000","-1,40","-1,40","18,03","18,03","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,89","2,89","0,00","0,00","14,83","14,83"
06/04/2025,13-14,"37,47","37,47","0,000124755898000000","-0,90","-0,90","17,51","17,51","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,87","2,87","0,00","0,00","14,75","14,75"
06/04/2025,14-15,"37,83","37,83","0,000125212708000000","-0,86","-0,86","17,83","17,83","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,88","2,88","0,00","0,00","14,75","14,75"
06/04/2025,15-16,"39,01","39,01","0,000111455864000000","-1,32","-1,32","19,36","19,36","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,91","2,91","0,00","0,00","14,83","14,83"
06/04/2025,16-17,"39,69","39,69","0,000103064282000000","-1,54","-1,54","20,08","20,08","0,05","0,05","0,19","0,19","0,00","0,00","0,00","0,00","2,99","2,99","2,94","2,94","0,00","0,00","14,97","14,97"
06/04/2025,17-18,"40,24","40,24","0,000100214598000000","-1,09","-1,09","19,79","19,79","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,00","3,00","0,00","0,00","15,30","15,30"
06/04/2025,18-19,"55,09","55,09","0,000103082640000000","11,29","11,29","21,86","21,86","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,25","3,25","0,00","0,00","15,46","15,46"
06/04/2025,19-20,"78,06","78,06","0,000109940215000000","40,21","40,21","15,46","15,46","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","3,61","3,61","0,00","0,00","15,53","15,53"
06/04/2025,20-21,"121,76","121,76","0,000128951066000000","89,09","89,09","9,68","9,68","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","4,26","4,26","0,00","0,00","15,49","15,49"
06/04/2025,21-22,"128,48","128,48","0,000153772898000000","93,56","93,56","11,93","11,93","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","4,34","4,34","0,00","0,00","15,40","15,40"
06/04/2025,22-23,"118,57","118,57","0,000141392899000000","83,01","83,01","12,60","12,60","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","4,21","4,21","0,00","0,00","15,51","15,51"
06/04/2025,23-24,"115,68","115,68","0,000118793251000000","79,03","79,03","13,58","13,58","0,05","0,05","0,20","0,20","0,00","0,00","0,00","0,00","2,99","2,99","4,19","4,19","0,00","0,00","15,64","15,64"
